step,timeperf/rollout,ppo_actor/kl_rewards/min,ppo_actor/update/clip_ratio/max,ppo_actor/update/new_logp/max,timeperf/recompute_logp,ppo_actor/mask_no_eos_with_zero,ppo_actor/update/clip_ratio/min,ppo_actor/update/new_logp/min,teacher_answer_n_seqs,ppo_actor/n_seqs,ppo_actor/update/clipped_tokens,ppo_actor/update/old_logp/avg,teacher_answer_logp/avg,ppo_actor/n_tokens,ppo_actor/update/compute_logp/kl_div_direct/avg,ppo_actor/update/old_logp/max,teacher_answer_logp/min,ppo_actor/n_valid_tokens,ppo_actor/update/compute_logp/kl_div_direct/max,ppo_actor/update/old_logp/min,teacher_answer_logp/max,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/min,ppo_actor/update/rs_filtered_fraction,teacher_answer_len/avg,ppo_actor/no_eos_ratios/max,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/unclipped_behave_tokens,teacher_answer_len/min,ppo_actor/no_eos_ratios/min,ppo_actor/update/compute_logp/kl_div_dual/max,ppo_actor/update/update_successful,teacher_answer_len/max,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/min,ppo_actor/update/version_stats/n_valid_generated_tokens,timeperf/rollout_postprocess,ppo_actor/prompt_len/max,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/update/version_stats/n_valid_tokens,timeperf/compute_advantage,ppo_actor/prompt_len/min,ppo_actor/update/compute_logp/kl_div_taylor/max,ppo_actor/update/version_stats/sample_staleness_proximal_avg,timeperf/train_step,ppo_actor/rs_upper,ppo_actor/update/compute_logp/kl_div_taylor/min,ppo_actor/update/version_stats/sample_staleness_proximal_max,timeperf/update_weights,ppo_actor/seq_len/avg,ppo_actor/update/compute_logp/n_valid_tokens,ppo_actor/update/version_stats/sample_staleness_proximal_min,timeperf/save,ppo_actor/seq_len/max,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/update/version_stats/sample_staleness_theta_avg,timeperf/checkpoint_for_recover,ppo_actor/seq_len/min,ppo_actor/update/compute_logp/prox_logp_gt/max,ppo_actor/update/version_stats/sample_staleness_theta_max,timeperf/eval,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/min,ppo_actor/update/version_stats/sample_staleness_theta_min,timeperf/clear_batches,ppo_actor/task_reward/max,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/update/version_stats/v_proximal,ppo_actor/advantages/avg,ppo_actor/task_reward/min,ppo_actor/update/dual_clip_ratio/max,ppo_actor/update/version_stats/v_theta,ppo_actor/advantages/max,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/min,ppo_actor/update/vocab_max_logits/avg,ppo_actor/advantages/min,ppo_actor/update/actor_loss/max,ppo_actor/update/dual_clipped_tokens,ppo_actor/update/vocab_max_logits/max,ppo_actor/correct_n_seqs,ppo_actor/update/actor_loss/min,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/min,ppo_actor/eps_clip,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/max,ppo_actor/update/vocab_min_logits/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/max,ppo_actor/update/entropy/min,ppo_actor/update/vocab_min_logits/max,ppo_actor/final_reward/max,ppo_actor/update/approx_kl/min,ppo_actor/update/grad_norm,ppo_actor/update/vocab_min_logits/min,ppo_actor/final_reward/min,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/importance_weight/avg,ppo_actor/use_dual_clip,ppo_actor/incorrect_n_seqs,ppo_actor/update/behave_approx_kl/max,ppo_actor/update/importance_weight/max,rollout/accepted,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/min,ppo_actor/update/importance_weight/min,rollout/reward,ppo_actor/incorrect_seq_len/max,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/lr,eval-rollout/reward,ppo_actor/incorrect_seq_len/min,ppo_actor/update/behave_imp_weight/max,ppo_actor/update/n_tokens,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/min,ppo_actor/update/n_valid_tokens,ppo_actor/kl_rewards/max,ppo_actor/update/clip_ratio/avg,ppo_actor/update/new_logp/avg
62,0.0010919,-0.0,0.0,0.0,0.46791,0.0,0.0,-4.8923,256.0,256.0,0.0,-0.18981,-1.6468,198780.0,0.0030513,0.0,-8.9251,84452.0,1.7718,-4.6054,-1.7881e-07,0.0625,-1.3839,0.0,3.625,1.0,0.0026258,84452.0,2.0,0.0,1.6066,1.0,10.0,136.25,-8.9407e-08,21049.0,0.59058,422.0,0.0027122,84452.0,0.1329,86.0,1.5697,1.0,4.3708,5.0,0.0,1.0,0.092587,466.14,84452.0,1.0,0.00034407,806.0,-0.19287,2.0,6.8123e-05,229.0,0.0,2.0,4.4697e-05,-1.6468,-4.8923,2.0,0.0033659,-1.7881e-07,0.0,60.0,-5.059e-09,-8.9251,0.0,61.0,2.3051,-0.00032702,0.0,27.114,-2.7103,5.7724,0.0,46.0,0.0,-3.7003,0.22077,6.5625,0.25,-5.9407e-13,2.4347,-16.732,-3.3878e-11,2.3842e-07,5.1926e-17,-7.0312,2.0853,-3.553e-07,0.52938,-33.25,-2.4749,-0.0030513,1.0,0.0,256.0,1.3839,1.0,1.0,466.14,-1.7718,1.0,0.0,806.0,0.99957,3e-06,,229.0,3.9905,119330.0,0.0,0.17002,84452.0,0.0,0.0,-0.19287
63,0.0014297,0.0,0.0,0.0,0.47629,0.0,0.0,-5.0286,256.0,256.0,0.0,-0.18724,-1.2967,270210.0,0.003218,0.0,-9.198,80996.0,2.0705,-4.577,-1.1921e-07,0.050781,-1.177,1.4012e-05,4.0938,1.0,0.0027514,80995.0,2.0,0.0,1.1967,1.0,13.0,147.78,-8.8461e-08,20185.0,0.58928,881.0,0.0028832,80995.0,0.16528,79.0,2.1436,1.0,3.6428,5.0,0.0,1.0,0.083555,464.17,80995.0,1.0,0.00037393,1265.0,-0.19042,2.0,6.8594e-05,228.0,0.0,2.0,4.5448e-05,-1.2967,-5.0286,2.0,0.0038521,-1.1921e-07,0.0,61.0,6.0285e-09,-9.198,0.0,62.0,2.312,3.1937e-05,0.0,26.843,-2.713,5.7426,0.0,44.25,0.0,-4.9062,0.21679,6.5312,0.25,1.2477e-10,2.6877,-16.221,5.5928e-11,4.2468e-07,4.4606e-15,-6.9062,2.094,-3.4831e-07,0.5442,-32.0,-2.4749,-0.003218,0.99999,0.0,256.0,1.177,1.0,1.0,464.17,-2.0705,0.0,0.0,1265.0,0.99953,3e-06,,228.0,3.2446,118830.0,0.0,0.12612,80996.0,0.0,0.0,-0.19043
64,0.001379,0.0,0.0,0.0,0.46441,0.0,0.0,-4.6564,256.0,256.0,0.0,-0.21296,-2.291,148480.0,0.0028653,0.0,-15.041,86014.0,1.6255,-4.5358,-1.3411e-06,0.050781,-1.0679,0.0,3.375,1.0,0.0024332,86014.0,2.0,0.0,0.84135,1.0,9.0,120.31,-8.7282e-08,21440.0,0.58209,199.0,0.0025184,86014.0,0.11739,76.0,1.321,1.0,3.5274,5.0,0.0,1.0,0.88874,456.3,86014.0,1.0,0.00032834,583.0,-0.21582,2.0,7.2539e-05,212.0,0.0,2.0,4.5068e-05,-2.291,-4.6564,2.0,0.0036031,-1.3411e-06,0.0,62.0,1.0644e-09,-15.041,0.0,63.0,2.585,0.00028825,0.0,26.554,-2.7449,5.1474,0.0,45.0,0.0,-3.8025,0.24582,6.5625,0.25,5.7678e-11,2.754,-16.481,-1.1087e-11,3.4645e-07,1.2254e-16,-7.2188,2.344,-3.5646e-07,0.57512,-34.0,-2.4749,-0.0028653,1.0,0.0,256.0,1.0679,1.0,1.0,456.3,-1.6255,1.0,0.0,583.0,0.99957,3e-06,,212.0,2.9092,116810.0,0.0,0.19682,86014.0,0.0,0.0,-0.21582
65,0.001438,-0.0,0.0,0.0,0.46284,0.0,0.0,-4.6133,256.0,256.0,0.0,-0.19166,-1.4222,150140.0,0.0022508,0.0,-9.5834,84363.0,1.2597,-4.4608,-4.2915e-07,0.058594,-1.1636,0.0,4.125,1.0,0.0020181,84363.0,2.0,0.0,1.0378,1.0,21.0,124.47,-8.9407e-08,21027.0,0.58719,213.0,0.0020674,84363.0,0.12128,77.0,0.79344,1.0,3.458,5.0,0.0,1.0,0.084437,454.01,84363.0,1.0,0.00035097,597.0,-0.19391,2.0,7.1407e-05,236.0,0.0,2.0,4.5118e-05,-1.4222,-4.6133,2.0,0.0040932,-4.2915e-07,0.0,63.0,2.5322e-09,-9.5834,0.0,64.0,1.7957,-9.1343e-05,0.0,26.816,-2.6256,4.7074,0.0,43.75,0.0,-3.1495,0.22075,6.5312,0.25,7.938e-11,2.5357,-16.431,7.3479e-11,3.5705e-07,6.5988e-15,-6.8438,1.6613,-3.4645e-07,0.56783,-31.875,-2.4749,-0.0022508,1.0,0.0,256.0,1.1636,1.0,1.0,454.01,-1.2597,1.0,0.0,597.0,0.99977,3e-06,,236.0,3.2014,116230.0,0.0,0.28373,84363.0,0.0,0.0,-0.19391
66,0.0011844,-0.0,0.0,0.0,0.45161,0.0,0.0,-4.8884,256.0,256.0,0.0,-0.19142,-1.8393,178050.0,0.0015925,0.0,-10.417,76759.0,0.95008,-4.6224,-4.7684e-07,0.0625,-1.0502,0.0,15.375,1.0,0.001711,76759.0,2.0,0.0,0.80798,1.0,387.0,124.59,-8.7864e-08,19126.0,0.5856,433.0,0.0017291,76759.0,0.13693,79.0,0.55143,1.0,3.317,5.0,0.0,1.0,0.083659,424.43,76759.0,1.0,0.00031645,817.0,-0.19301,2.0,6.6811e-05,200.0,0.0,2.0,4.3856e-05,-1.8393,-4.8884,2.0,0.0037001,-4.7684e-07,0.0,64.0,0.0,-10.417,0.0,65.0,2.3045,0.00028837,0.0,26.826,-2.799,4.786,0.0,43.5,0.0,-3.5745,0.22156,6.5312,0.25,4.2587e-11,2.5774,-16.376,-3.5409e-10,2.9802e-07,4.6855e-15,-6.9688,2.02,-3.2037e-07,0.59436,-32.25,-2.4749,-0.0015925,1.0,0.0,256.0,1.0502,1.0,1.0,424.43,-0.95008,1.0,0.0,817.0,1.0001,3e-06,,200.0,2.8582,108660.0,0.0,0.38671,76759.0,0.0,0.0,-0.19301
67,0.0013741,0.0,0.0,0.0,0.45604,0.0,0.0,-4.4611,256.0,256.0,0.0,-0.2053,-1.7006,178180.0,0.0017071,0.0,-7.9862,79482.0,1.1512,-4.3581,-5.9605e-07,0.0625,-1.2149,0.0,11.0,1.0,0.0015593,79482.0,2.0,0.0,1.1551,1.0,213.0,125.78,-9.012e-08,19806.0,0.58959,319.0,0.0015952,79482.0,0.64118,75.0,0.73802,1.0,3.3094,5.0,0.0,1.0,0.084081,436.26,79482.0,1.0,0.00049075,703.0,-0.20701,2.0,8.3486e-05,187.0,0.0,2.0,5.5413e-05,-1.7006,-4.4611,2.0,0.0036779,-5.9605e-07,0.0,65.0,-1.5358e-09,-7.9862,0.0,66.0,2.5446,-2.1901e-05,0.0,26.602,-2.6766,4.3193,0.0,45.0,0.0,-3.6647,0.23931,6.5312,0.25,5.2023e-11,2.422,-16.364,2.9097e-10,3.5763e-07,1.6047e-15,-7.2812,2.3176,-3.567e-07,0.58437,-36.25,-2.4748,-0.0017071,1.0,0.0,256.0,1.2149,1.0,1.0,436.26,-1.1512,1.0,0.0,703.0,0.99985,3e-06,,187.0,3.37,111680.0,0.0,0.31627,79482.0,0.0,0.0,-0.20701
68,0.0011141,0.0,0.0,0.0,0.45187,0.0,0.0,-4.9935,256.0,256.0,0.0,-0.1881,-1.7817,183680.0,0.0021391,0.0,-9.7336,78640.0,1.5363,-4.4333,-3.9736e-07,0.0625,-1.1115,0.0,4.5312,1.0,0.0014779,78640.0,2.0,0.0,0.92741,1.0,25.0,127.81,-8.801e-08,19596.0,0.57118,505.0,0.0015098,78640.0,0.14306,73.0,1.1802,1.0,3.3305,5.0,0.0,1.0,0.082942,435.0,78640.0,1.0,0.000399,889.0,-0.19024,2.0,9.7287e-05,198.0,0.0,2.0,5.8588e-05,-1.7817,-4.9935,2.0,0.0039879,-3.9736e-07,0.0,66.0,3.8807e-09,-9.7336,0.0,67.0,2.4769,0.00013446,0.0,26.771,-2.7664,4.2319,0.0,43.5,0.0,-3.5635,0.21831,6.5312,0.25,9.0972e-11,2.6656,-16.256,-5.0024e-11,3.2037e-07,2.3939e-15,-6.9688,2.1975,-3.5577e-07,0.56749,-32.0,-2.4749,-0.0021391,1.0,0.0,256.0,1.1115,1.0,1.0,435.0,-1.5363,1.0,0.0,889.0,0.99934,3e-06,,198.0,3.0389,111360.0,0.0,0.21517,78640.0,0.0,0.0,-0.19024
69,0.0014116,0.0,0.0,0.0,0.4471,0.0,0.0,-4.995,256.0,256.0,0.0,-0.17879,-1.8748,144770.0,0.0016349,0.0,-8.855,77990.0,1.1508,-4.7116,-1.7881e-06,0.023438,-1.299,0.0,19.938,1.0,0.0013026,77990.0,2.0,0.0,1.3665,1.0,476.0,117.28,-8.8476e-08,19434.0,0.58505,218.0,0.0013219,77990.0,0.11921,77.0,0.84364,1.0,3.2332,5.0,0.0,1.0,0.085408,421.93,77990.0,1.0,0.00036132,586.0,-0.18043,2.0,6.7812e-05,191.0,0.0,2.0,4.3926e-05,-1.8748,-4.995,2.0,0.0038385,-1.7881e-06,0.0,67.0,-4.6956e-09,-8.855,0.0,68.0,2.728,-7.6067e-05,0.0,26.927,-2.6985,3.988,0.0,44.75,0.0,-4.7408,0.20899,6.5,0.25,8.379e-12,2.5171,-16.366,-3.3322e-10,3.5763e-07,9.3648e-15,-6.75,2.4717,-3.4645e-07,0.55558,-35.25,-2.4749,-0.0016349,1.0,0.0,256.0,1.299,1.0,1.0,421.93,-1.1508,1.0,0.0,586.0,0.99967,3e-06,,191.0,3.6655,108010.0,0.0,0.31639,77990.0,0.0,0.0,-0.18043
70,0.0012716,-0.0,0.0,0.0,0.46422,0.0,0.0,-4.4652,256.0,256.0,0.0,-0.17944,-1.9432,147200.0,0.0013386,0.0,-9.375,83189.0,1.6147,-4.6431,-1.1921e-06,0.0625,-0.67408,0.0,5.375,1.0,0.0011532,83189.0,2.0,0.0,0.81362,1.0,25.0,112.88,-8.721e-08,20733.0,0.57781,228.0,0.0011728,83189.0,0.11934,81.0,1.3036,1.0,3.3854,5.0,0.0,1.0,0.087079,437.83,83189.0,1.0,0.00034791,612.0,-0.18078,2.0,7.1437e-05,173.0,0.0,2.0,4.605e-05,-1.9432,-4.4652,2.0,0.0037759,-1.1921e-06,0.0,68.0,-2.9348e-09,-9.375,0.0,69.0,2.0462,-0.00014819,0.0,27.165,-2.7636,4.0138,0.0,43.5,0.0,-2.8493,0.20871,6.5312,0.25,1.0379e-10,2.3779,-16.558,1.519e-10,3.5204e-07,4.2178e-15,-7.125,1.8174,-3.539e-07,0.56925,-33.25,-2.4748,-0.0013386,1.0,0.0,256.0,0.67408,1.0,1.0,437.83,-1.6147,1.0,0.0,612.0,0.99981,3e-06,,173.0,1.9622,112080.0,0.0,0.19896,83189.0,0.0,0.0,-0.18078
71,0.0011879,-0.0,0.0,0.0,0.45497,0.0,0.0,-4.5904,256.0,256.0,0.0,-0.19121,-1.8579,156420.0,0.0017807,0.0,-13.937,81746.0,1.054,-4.4985,-4.4703e-07,0.058594,-1.3066,0.0,3.6562,1.0,0.0013401,81746.0,2.0,0.0,1.387,1.0,10.0,115.88,-8.8126e-08,20372.0,0.57578,279.0,0.0013497,81746.0,0.11891,74.0,0.8536,1.0,3.328,5.0,0.0,1.0,0.086439,435.2,81746.0,1.0,0.00034289,663.0,-0.19299,2.0,7.0066e-05,178.0,0.0,2.0,4.4467e-05,-1.8579,-4.5904,2.0,0.0037359,-4.4703e-07,0.0,69.0,-4.4799e-09,-13.937,0.0,70.0,2.1525,0.00024811,0.0,26.747,-2.7679,4.3236,0.0,43.0,0.0,-4.5366,0.22165,6.5312,0.25,-2.0268e-11,2.4533,-16.196,-1.4291e-10,2.9802e-07,6.6447e-16,-7.0,1.91,-3.2783e-07,0.60069,-33.0,-2.4749,-0.0017807,1.0,0.0,256.0,1.3066,1.0,1.0,435.2,-1.054,1.0,0.0,663.0,0.99956,3e-06,,178.0,3.6936,111410.0,0.0,0.34855,81746.0,0.0,0.0,-0.19299
72,0.0014377,0.0,0.0,0.0,0.4569,0.0,0.0,-4.8698,256.0,256.0,0.0,-0.20152,-2.0085,212100.0,0.001569,0.0,-13.23,77280.0,1.4492,-4.6321,-8.3446e-07,0.0625,-0.8892,0.0,3.4375,1.0,0.001302,77280.0,2.0,0.0,0.68398,1.0,8.0,140.81,-8.9407e-08,19256.0,0.59487,531.0,0.0013263,77280.0,0.1407,74.0,1.0501,1.0,3.3492,5.0,0.0,1.0,0.085492,442.69,77280.0,1.0,0.00037854,915.0,-0.20308,2.0,6.5088e-05,169.0,0.0,2.0,3.334e-05,-2.0085,-4.8698,2.0,0.004008,-8.3446e-07,0.0,70.0,-3.949e-10,-13.23,0.0,71.0,1.8801,-0.00027545,0.0,26.492,-2.7194,6.6167,0.0,44.25,0.0,-2.7522,0.2341,6.5312,0.25,1.1005e-10,2.4978,-16.096,-3.7022e-11,3.5763e-07,1.216e-14,-7.0938,1.69,-2.3842e-07,0.61271,-34.25,-2.4749,-0.001569,1.0,0.0,256.0,0.8892,1.0,1.0,442.69,-1.4492,1.0,0.0,915.0,0.99973,3e-06,,169.0,2.4332,113330.0,0.0,0.23475,77280.0,0.0,0.0,-0.20308
73,0.0018219,0.0,0.0,0.0,0.4543,0.0,0.0,-6.2646,256.0,256.0,0.0,-0.21043,-1.6334,162690.0,0.001196,0.0,-9.5599,77869.0,3.4583,-4.4997,-8.9407e-07,0.0625,-1.1285,0.0,4.9688,1.0,0.0013157,77869.0,2.0,0.0,2.4898,1.0,28.0,122.28,-8.7006e-08,19403.0,0.57929,297.0,0.0013793,77869.0,0.12671,79.0,5.98,1.0,3.2872,5.0,0.0,1.0,0.083189,426.46,77869.0,1.0,0.00032737,681.0,-0.21163,2.0,6.647e-05,225.0,0.0,2.0,4.2424e-05,-1.6334,-6.2646,2.0,0.003658,-8.9407e-07,0.0,71.0,3.9191e-09,-9.5599,0.0,72.0,2.7482,0.00022438,0.0,26.411,-2.7605,4.2106,0.0,43.75,0.0,-4.8549,0.24319,6.5312,0.25,3.7314e-11,2.7669,-16.205,1.8983e-10,2.3842e-07,2.6352e-16,-6.875,2.4491,-4.7684e-07,0.61789,-33.25,-2.4747,-0.001196,1.0,0.0,256.0,1.1285,1.0,1.0,426.46,-3.4583,1.0,0.0,681.0,1.0001,3e-06,,225.0,3.0909,109170.0,0.0,0.031483,77869.0,0.0,0.0,-0.21163
74,0.0014503,-0.0,0.0,0.0,0.44277,0.0,0.0,-4.7339,256.0,256.0,0.0,-0.20388,-1.6681,152320.0,0.0015933,0.0,-10.31,75495.0,0.936,-4.533,-4.7684e-07,0.050781,-0.98508,0.0,5.0,1.0,0.0011181,75495.0,2.0,0.0,0.69294,1.0,51.0,117.25,-8.833e-08,18810.0,0.5621,236.0,0.0011279,75495.0,0.11782,73.0,0.48519,1.0,3.1349,5.0,0.0,1.0,0.086578,412.15,75495.0,1.0,0.00039264,620.0,-0.20547,2.0,7.5093e-05,175.0,0.0,2.0,3.8368e-05,-1.6681,-4.7339,2.0,0.0042219,-4.7684e-07,0.0,72.0,-4.4466e-09,-10.31,0.0,73.0,2.2602,-0.00028613,0.0,26.58,-2.7539,4.4561,0.0,43.75,0.0,-3.9838,0.23901,6.5312,0.25,4.4198e-11,2.6197,-16.435,1.058e-10,3.5763e-07,3.1214e-16,-7.1875,1.9903,-3.4831e-07,0.58406,-35.0,-2.4748,-0.0015933,1.0,0.0,256.0,0.98508,1.0,1.0,412.15,-0.936,1.0,0.0,620.0,0.99952,3e-06,,175.0,2.678,105510.0,0.0,0.39219,75495.0,0.0,0.0,-0.20547
75,0.0013052,0.0,0.0,0.0,0.44966,0.0,0.0,-4.3583,256.0,256.0,0.0,-0.19865,-2.1377,172290.0,0.0013658,0.0,-8.8764,75136.0,1.3507,-4.2555,-4.1723e-07,0.042969,-0.88112,0.0,4.1875,1.0,0.0011938,75136.0,2.0,0.0,0.60975,1.0,11.0,129.75,-8.9407e-08,18720.0,0.5752,349.0,0.0012066,75136.0,0.12891,88.0,0.91218,1.0,3.2867,5.0,0.0,1.0,0.082392,423.25,75136.0,1.0,0.00034235,733.0,-0.20002,2.0,6.8282e-05,214.0,0.0,2.0,4.4166e-05,-2.1377,-4.3583,2.0,0.0040332,-4.1723e-07,0.0,73.0,-1.6247e-09,-8.8764,0.0,74.0,2.4561,2.6914e-05,0.0,26.399,-2.7033,3.9791,0.0,42.75,0.0,-3.5617,0.22956,6.5312,0.25,-1.0493e-11,2.5198,-16.066,-9.6781e-11,3.4273e-07,8.403e-17,-6.875,2.2366,-3.2037e-07,0.60991,-34.25,-2.4748,-0.0013658,1.0,0.0,256.0,0.88112,1.0,1.0,423.25,-1.3507,1.0,0.0,733.0,0.99983,3e-06,,214.0,2.4136,108350.0,0.0,0.25906,75136.0,0.0,0.0,-0.20002
76,0.0013599,-0.0,0.0,0.0,0.4629,0.0,0.0,-4.841,256.0,256.0,0.0,-0.18358,-1.3408,179840.0,0.0014874,0.0,-13.563,76647.0,1.2777,-4.6869,-5.0664e-07,0.058594,-1.6063,0.0,11.219,1.0,0.0012084,76647.0,2.0,0.0,2.378,1.0,225.0,131.22,-8.9407e-08,19098.0,0.58239,415.0,0.0012104,76647.0,0.13893,76.0,1.2901,1.0,3.2809,5.0,0.0,1.0,0.085523,430.62,76647.0,1.0,0.00038465,799.0,-0.18506,2.0,6.9274e-05,212.0,0.0,2.0,3.7847e-05,-1.3408,-4.841,2.0,0.0044148,-5.0664e-07,0.0,74.0,3.9816e-09,-13.563,0.0,75.0,2.8047,-0.00012436,0.0,26.73,-2.9069,4.9304,0.0,44.0,0.0,-3.4545,0.21132,6.5312,0.25,2.6952e-11,2.3463,-16.332,-3.1106e-12,3.1292e-07,2.8696e-16,-6.7812,2.4044,-3.5756e-07,0.63159,-32.25,-2.4749,-0.0014874,1.0,0.0,256.0,1.6063,1.0,1.0,430.62,-1.2777,1.0,0.0,799.0,0.99972,3e-06,,212.0,4.9843,110240.0,0.0,0.27869,76647.0,0.0,0.0,-0.18506
77,0.0018017,-0.0,0.0,0.0,0.45455,0.0,0.0,-4.6508,256.0,256.0,0.0,-0.18857,-1.6422,167300.0,0.0011222,0.0,-10.099,76846.0,1.1503,-4.44,-6.5565e-07,0.042969,-0.89381,0.0,3.9062,1.0,0.0011721,76846.0,2.0,0.0,0.55062,1.0,8.0,114.91,-8.9407e-08,19148.0,0.56399,387.0,0.0011776,76846.0,0.12841,76.0,0.6616,1.0,3.2575,5.0,0.0,1.0,0.08486,415.09,76846.0,1.0,0.00033022,771.0,-0.18969,2.0,6.7381e-05,184.0,0.0,2.0,4.1933e-05,-1.6422,-4.6508,2.0,0.0033554,-6.5565e-07,0.0,75.0,-6.7511e-09,-10.099,0.0,76.0,2.2306,0.00013263,0.0,26.682,-2.9016,5.1385,0.0,44.25,0.0,-3.0457,0.22017,6.5312,0.25,8.897e-11,2.4133,-16.116,6.8256e-11,3.567e-07,2.9102e-15,-7.0312,1.8825,-2.6822e-07,0.59019,-31.5,-2.4748,-0.0011222,1.0,0.0,256.0,0.89381,1.0,1.0,415.09,-1.1503,1.0,0.0,771.0,1.0,3e-06,,184.0,2.4444,106260.0,0.0,0.31654,76846.0,-0.0,0.0,-0.18969
78,0.0013762,0.0,0.0,0.0,0.46408,0.0,0.0,-4.6364,256.0,256.0,0.0,-0.18943,-1.8891,173060.0,0.0014279,0.0,-15.587,82016.0,1.2674,-4.3148,-3.5763e-07,0.0625,-1.2874,0.0,4.4688,1.0,0.0011662,82016.0,2.0,0.0,1.336,1.0,18.0,123.47,-8.9174e-08,20440.0,0.58497,344.0,0.0011793,82016.0,0.13154,75.0,0.82873,1.0,3.4284,5.0,0.0,1.0,0.089038,443.84,82016.0,1.0,0.00034208,728.0,-0.19086,2.0,7.0476e-05,233.0,0.0,2.0,4.4637e-05,-1.8891,-4.6364,2.0,0.0039493,-3.5763e-07,0.0,76.0,2.2326e-09,-15.587,0.0,77.0,2.2009,2.7647e-06,0.0,26.728,-2.8046,3.7811,0.0,44.0,0.0,-3.0669,0.22207,6.5312,0.25,-1.4264e-11,2.4186,-16.197,-4.9419e-11,4.7684e-07,1.9315e-14,-7.2188,1.9296,-3.539e-07,0.56932,-35.0,-2.4749,-0.0014279,1.0,0.0,256.0,1.2874,1.0,1.0,443.84,-1.2674,1.0,0.0,728.0,0.99974,3e-06,,233.0,3.6234,113620.0,0.0,0.28157,82016.0,0.0,0.0,-0.19086
79,0.001419,0.0,0.0,0.0,0.45803,0.0,0.0,-4.4639,256.0,256.0,0.0,-0.18586,-1.6703,144900.0,0.0015987,0.0,-11.676,81071.0,1.5898,-4.5458,-3.5763e-07,0.058594,-0.96397,0.0,9.8125,1.0,0.0012576,81071.0,2.0,0.0,0.79374,1.0,169.0,112.5,-8.7879e-08,20204.0,0.57808,198.0,0.0012853,81071.0,0.11844,73.0,1.2637,1.0,3.3526,5.0,0.0,1.0,0.086983,429.18,81071.0,1.0,0.00033854,582.0,-0.18746,2.0,6.9775e-05,231.0,0.0,2.0,3.8838e-05,-1.6703,-4.4639,2.0,0.0042468,-3.5763e-07,0.0,77.0,5.27e-09,-11.676,0.0,78.0,2.8288,-5.5139e-05,0.0,26.853,-2.885,5.1856,0.0,43.0,0.0,-3.539,0.21771,6.5625,0.25,5.7407e-11,2.4401,-16.33,6.1023e-11,3.1292e-07,8.8514e-16,-7.0312,2.4195,-3.5623e-07,0.56008,-34.25,-2.4749,-0.0015987,1.0,0.0,256.0,0.96397,1.0,1.0,429.18,-1.5898,1.0,0.0,582.0,0.99966,3e-06,,231.0,2.6221,109870.0,0.0,0.20397,81071.0,0.0,0.0,-0.18746
80,0.0014882,0.0,0.0,0.0,0.4507,0.0,0.0,-5.1127,256.0,256.0,0.0,-0.18857,-1.6113,148990.0,0.0014212,0.0,-9.6628,78098.0,1.1937,-4.7372,-3.5763e-07,0.050781,-0.96246,0.0,6.6562,1.0,0.0012196,78098.0,2.0,0.0,0.65567,1.0,103.0,114.38,-8.7923e-08,19460.0,0.56111,213.0,0.0012314,78098.0,0.11992,71.0,0.71251,1.0,3.2597,5.0,0.0,1.0,0.088984,419.45,78098.0,1.0,0.00032443,597.0,-0.18999,2.0,6.4808e-05,199.0,0.0,2.0,4.4106e-05,-1.6113,-5.1127,2.0,0.0037398,-3.5763e-07,0.0,78.0,1.2602e-08,-9.6628,0.0,79.0,2.8819,0.00019169,0.0,26.891,-2.9151,4.3761,0.0,45.0,0.0,-4.0623,0.21904,6.5312,0.25,4.1697e-11,2.5474,-16.369,1.2211e-11,4.3213e-07,2.8927e-15,-6.7812,2.4161,-3.539e-07,0.58591,-34.25,-2.4749,-0.0014212,1.0,0.0,256.0,0.96246,1.0,1.0,419.45,-1.1937,1.0,0.0,597.0,0.9998,3e-06,,199.0,2.6181,107380.0,0.0,0.30308,78098.0,0.0,0.0,-0.18999
