step,timeperf/rollout,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/n_tokens,timeperf/recompute_logp,ppo_actor/incorrect_seq_len/max,ppo_actor/update/behave_imp_weight/max,ppo_actor/update/n_valid_tokens,teacher_answer_n_seqs,ppo_actor/incorrect_seq_len/min,ppo_actor/update/behave_imp_weight/min,ppo_actor/update/new_logp/avg,teacher_answer_logp/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/clip_ratio/avg,ppo_actor/update/new_logp/max,teacher_answer_logp/min,ppo_actor/kl_rewards/max,ppo_actor/update/clip_ratio/max,ppo_actor/update/new_logp/min,teacher_answer_logp/max,ppo_actor/kl_rewards/min,ppo_actor/update/clip_ratio/min,ppo_actor/update/old_logp/avg,teacher_answer_len/avg,ppo_actor/mask_no_eos_with_zero,ppo_actor/update/clipped_tokens,ppo_actor/update/old_logp/max,teacher_answer_len/min,ppo_actor/n_seqs,ppo_actor/update/compute_logp/kl_div_direct/avg,ppo_actor/update/old_logp/min,teacher_answer_len/max,ppo_actor/n_tokens,ppo_actor/update/compute_logp/kl_div_direct/max,ppo_actor/update/rs_filtered_fraction,teacher_context_len/avg,ppo_actor/n_valid_tokens,ppo_actor/update/compute_logp/kl_div_direct/min,ppo_actor/update/unclipped_behave_tokens,teacher_context_len/min,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/update_successful,teacher_context_len/max,ppo_actor/no_eos_ratios/max,ppo_actor/update/compute_logp/kl_div_dual/max,ppo_actor/update/version_stats/n_valid_generated_tokens,teacher_added_prefix_len/avg,ppo_actor/no_eos_ratios/min,ppo_actor/update/compute_logp/kl_div_dual/min,ppo_actor/update/version_stats/n_valid_tokens,teacher_added_prefix_len/min,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/update/version_stats/sample_staleness_proximal_avg,teacher_added_prefix_len/max,ppo_actor/prompt_len/max,ppo_actor/update/compute_logp/kl_div_taylor/max,ppo_actor/update/version_stats/sample_staleness_proximal_max,timeperf/rollout_postprocess,ppo_actor/prompt_len/min,ppo_actor/update/compute_logp/kl_div_taylor/min,ppo_actor/update/version_stats/sample_staleness_proximal_min,timeperf/compute_advantage,ppo_actor/rs_upper,ppo_actor/update/compute_logp/n_valid_tokens,ppo_actor/update/version_stats/sample_staleness_theta_avg,timeperf/train_step,ppo_actor/seq_len/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/update/version_stats/sample_staleness_theta_max,timeperf/update_weights,ppo_actor/seq_len/max,ppo_actor/update/compute_logp/prox_logp_gt/max,ppo_actor/update/version_stats/sample_staleness_theta_min,timeperf/save,ppo_actor/seq_len/min,ppo_actor/update/compute_logp/prox_logp_gt/min,ppo_actor/update/version_stats/v_proximal,timeperf/checkpoint_for_recover,ppo_actor/task_reward/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/update/version_stats/v_theta,timeperf/eval,ppo_actor/task_reward/max,ppo_actor/update/dual_clip_ratio/max,ppo_actor/update/vocab_max_logits/avg,timeperf/clear_batches,ppo_actor/task_reward/min,ppo_actor/update/dual_clip_ratio/min,ppo_actor/update/vocab_max_logits/max,ppo_actor/advantages/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clipped_tokens,ppo_actor/update/vocab_max_logits/min,ppo_actor/advantages/max,ppo_actor/update/actor_loss/max,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/advantages/min,ppo_actor/update/actor_loss/min,ppo_actor/update/entropy/max,ppo_actor/update/vocab_min_logits/max,ppo_actor/correct_n_seqs,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/min,ppo_actor/update/vocab_min_logits/min,ppo_actor/eps_clip,ppo_actor/update/approx_kl/max,ppo_actor/update/grad_norm,ppo_actor/use_dual_clip,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/min,ppo_actor/update/importance_weight/avg,rollout/accepted,ppo_actor/final_reward/max,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/importance_weight/max,rollout/reward,ppo_actor/final_reward/min,ppo_actor/update/behave_approx_kl/max,ppo_actor/update/importance_weight/min,eval-rollout/reward,ppo_actor/incorrect_n_seqs,ppo_actor/update/behave_approx_kl/min,ppo_actor/update/lr
63,0.0015156,544.79,1.0001,139460.0,0.55556,1317.0,2.0106,88321.0,256.0,293.0,0.27932,-0.22679,-1.2587,0.0,0.0,0.0,-7.6136,-0.0,0.0,-4.7519,0.0,-0.0,0.0,-0.22551,4.0938,0.0,0.0,0.0,2.0,256.0,0.0012809,-4.7573,13.0,283520.0,1.2754,0.0,544.79,88321.0,-0.69844,88321.0,293.0,0.058594,0.0013516,1.0,1317.0,1.0,0.55472,14678.0,4.0,0.0,-8.9407e-08,88321.0,4.0,199.78,0.0013705,1.0,4.0,933.0,0.81333,1.0,0.68712,131.0,0.0,1.0,0.17768,5.0,88321.0,2.0,4.58,544.79,-0.22679,2.0,0.082277,1317.0,0.0,2.0,0.00033015,293.0,-4.7519,61.0,0.00010709,-1.2587,0.0,62.0,4.4247e-05,0.0,0.0,26.477,0.003843,-7.6136,0.0,46.25,-2.4187e-09,9.4896e-05,0.0,6.4062,2.3238,4.0236,0.25947,-16.904,-2.7652,-3.5398,2.6361,-6.8125,0.0,5.0241e-11,3.3738e-17,-37.75,0.25,3.5763e-07,0.38812,0.0,5.2639e-11,-3.553e-07,1.0,1.0,2.0636,-0.0012809,1.0,0.0,-2.4748,0.69844,1.0,,256.0,-1.2754,3e-06
64,0.0015492,518.9,0.99999,132840.0,0.55361,635.0,2.7022,88727.0,256.0,265.0,0.16929,-0.2424,-2.3359,0.0,0.0,0.0,-13.279,0.0,0.0,-4.7798,0.0,0.0,0.0,-0.24107,3.375,0.0,0.0,0.0,2.0,256.0,0.0013283,-4.7864,9.0,161790.0,1.7762,0.0,518.9,88727.0,-0.99406,88727.0,265.0,0.054688,0.0013133,1.0,635.0,1.0,0.94544,14745.0,4.0,0.0,-8.6322e-08,88727.0,4.0,172.31,0.0013406,1.0,4.0,251.0,1.5774,1.0,0.65129,128.0,0.0,1.0,0.12973,5.0,88727.0,2.0,4.1149,518.9,-0.2424,2.0,0.086234,635.0,0.0,2.0,0.00036326,265.0,-4.7798,62.0,9.297e-05,-2.3359,0.0,63.0,4.5679e-05,0.0,0.0,26.283,0.0036662,-13.279,0.0,47.0,1.7197e-10,-0.00013777,0.0,6.4062,2.6401,4.1429,0.28061,-17.227,-2.7359,-3.4108,2.6778,-7.2188,0.0,-1.4947e-11,1.0392e-16,-35.5,0.25,3.539e-07,0.40155,0.0,-3.7619e-11,-3.5297e-07,1.0,1.0,2.3896,-0.0013283,1.0,0.0,-2.4749,0.99406,1.0,,256.0,-1.7762,3e-06
65,0.0014575,535.77,1.0,137160.0,0.55092,649.0,2.5571,91977.0,256.0,303.0,0.4622,-0.23853,-1.3871,0.0,0.0,0.0,-9.3778,0.0,0.0,-4.6276,0.0,0.0,0.0,-0.23722,4.125,0.0,0.0,0.0,2.0,256.0,0.0013054,-4.7681,21.0,163460.0,0.77176,0.0,535.75,91977.0,-0.93887,91977.0,303.0,0.050781,0.0013288,1.0,649.0,1.0,0.61822,15287.0,3.9844,0.0,-8.9407e-08,91977.0,0.0,176.48,0.0013372,1.0,4.0,265.0,0.44074,1.0,0.65997,129.0,0.0,1.0,0.12418,5.0,91977.0,2.0,3.8477,535.77,-0.23853,2.0,0.086178,649.0,0.0,2.0,0.00035126,303.0,-4.6276,63.0,0.00010581,-1.3871,0.0,64.0,4.5789e-05,0.0,0.0,26.399,0.0039249,-9.3778,0.0,47.25,0.0,-0.00028087,0.0,6.4062,1.752,4.892,0.27267,-17.123,-2.7588,-2.7547,3.0264,-7.2188,0.0,1.885e-11,1.9181e-16,-37.0,0.25,3.5297e-07,0.40034,0.0,1.4141e-05,-2.3842e-07,1.0,1.0,1.5635,-0.0013054,1.0,0.0,-2.4748,0.93887,1.0,,256.0,-0.77176,3e-06
66,0.0014111,512.45,1.0001,131190.0,0.52673,869.0,2.2522,85980.0,256.0,283.0,0.47821,-0.2242,-1.8663,0.0,0.0,0.0,-8.6459,0.0,0.0,-4.6675,0.0,-0.0,0.0,-0.22292,15.375,0.0,0.0,0.0,2.0,256.0,0.0012775,-4.6042,387.0,191360.0,0.73771,0.0,512.45,85980.0,-0.81189,85980.0,283.0,0.0625,0.0013302,1.0,869.0,1.0,0.44027,14287.0,4.0,0.0,-8.9058e-08,85980.0,4.0,176.59,0.0013429,1.0,4.0,485.0,0.32959,1.0,0.67003,131.0,0.0,1.0,0.14328,5.0,85980.0,2.0,3.02,512.45,-0.2242,2.0,0.085317,869.0,0.0,2.0,0.00032782,283.0,-4.6675,64.0,8.4277e-05,-1.8663,0.0,65.0,4.2454e-05,0.0,0.0,26.574,0.0038616,-8.6459,0.0,45.75,8.1636e-09,6.8223e-05,0.0,6.4062,2.7754,4.5723,0.25795,-17.184,-3.0684,-3.7277,2.5701,-7.2188,0.0,-3.4614e-11,7.7048e-16,-35.0,0.25,4.3213e-07,0.41337,0.0,-4.4367e-11,-2.3842e-07,1.0,1.0,2.2278,-0.0012775,1.0,0.0,-2.4749,0.81189,1.0,,256.0,-0.73771,3e-06
67,0.0015243,523.71,1.0001,134070.0,0.55777,755.0,2.5632,88494.0,256.0,229.0,0.25509,-0.24803,-1.5534,0.0,0.0,0.0,-8.0938,0.0,0.0,-5.2891,0.0,-0.0,0.0,-0.24674,11.0,0.0,0.0,0.0,2.0,256.0,0.0012904,-5.0249,213.0,191490.0,1.3661,0.0,523.46,88494.0,-0.94126,88494.0,229.0,0.0625,0.0013591,1.0,755.0,1.0,0.62195,14706.0,3.9844,0.0,-8.9407e-08,88494.0,0.0,178.04,0.0013697,1.0,4.0,371.0,0.93315,1.0,0.72116,127.0,0.0,1.0,0.13999,5.0,88494.0,2.0,3.9156,523.71,-0.24803,2.0,0.086365,755.0,0.0,2.0,0.00041101,229.0,-5.2891,65.0,0.00011669,-1.5534,0.0,66.0,4.5248e-05,0.0,0.0,26.246,0.0043399,-8.0938,0.0,46.0,-2.7588e-09,-0.00020041,0.0,6.4062,1.8183,4.6548,0.28483,-17.04,-2.7891,-3.9935,2.8358,-7.2188,0.0,3.2854e-11,2.5666e-15,-39.25,0.25,3.5763e-07,0.42211,0.0,2.0941e-05,-3.2783e-07,1.0,1.0,1.607,-0.0012904,1.0,0.0,-2.4749,0.94126,1.0,,256.0,-1.3661,3e-06
68,0.0016797,520.16,0.99996,133160.0,0.55158,941.0,2.0555,87128.0,256.0,275.0,0.46201,-0.22619,-1.6847,0.0,0.0,0.0,-9.1667,0.0,0.0,-4.8288,0.0,-0.0,0.0,-0.22485,4.5312,0.0,0.0,0.0,2.0,256.0,0.0013456,-4.7057,25.0,196990.0,0.77218,0.0,520.16,87128.0,-0.7205,87128.0,275.0,0.058594,0.0013013,1.0,941.0,1.0,0.33496,14479.0,4.0,0.0,-8.9407e-08,87128.0,4.0,179.81,0.0013135,1.0,4.0,557.0,0.29813,1.0,0.67282,125.0,0.0,1.0,0.14977,5.0,87128.0,2.0,3.945,520.16,-0.22619,2.0,0.080739,941.0,0.0,2.0,0.00032319,275.0,-4.8288,66.0,8.7702e-05,-1.6847,0.0,67.0,4.2615e-05,0.0,0.0,26.452,0.0041533,-9.1667,0.0,47.5,-4.1156e-09,-0.00031263,0.0,6.375,2.5291,3.9899,0.26277,-17.031,-2.8668,-3.3943,2.5709,-7.2188,0.0,-9.6461e-12,1.0438e-16,-36.0,0.25,4.7684e-07,0.41256,0.0,7.3883e-11,-3.4645e-07,1.0,1.0,2.1872,-0.0013456,1.0,0.0,-2.4748,0.7205,1.0,,256.0,-0.77218,3e-06
69,0.0017174,506.11,1.0,129560.0,0.51629,638.0,2.2698,86229.0,256.0,269.0,0.32896,-0.22009,-1.6593,0.0,0.0,0.0,-8.8195,0.0,0.0,-4.9014,0.0,-0.0,0.0,-0.21882,21.562,0.0,0.0,0.0,2.0,256.0,0.0012758,-4.6505,528.0,158850.0,1.1118,0.0,506.11,86229.0,-0.81967,86229.0,269.0,0.027344,0.0013102,1.0,638.0,1.0,0.45008,21493.0,4.0,0.0,-8.9407e-08,86229.0,4.0,169.28,0.0013237,1.0,4.0,270.0,0.61806,1.0,0.68072,129.0,0.0,1.0,0.12795,5.0,86229.0,2.0,3.9127,506.11,-0.22009,2.0,0.086701,638.0,0.0,2.0,0.00029479,269.0,-4.9014,67.0,0.00011097,-1.6593,0.0,68.0,3.9459e-05,0.0,0.0,26.659,0.0044604,-8.8195,0.0,48.0,1.5926e-09,0.00017047,0.0,6.4062,2.4736,4.6884,0.25194,-17.197,-2.8272,-3.5694,2.5991,-7.2188,0.0,8.7135e-11,1.9515e-16,-39.25,0.25,3.1292e-07,0.59031,0.0,1.0507e-10,-2.6822e-07,1.0,1.0,2.1545,-0.0012758,1.0,0.0,-2.4728,0.81967,1.0,,256.0,-1.1118,3e-06
70,0.0014203,512.61,1.0001,131230.0,0.52968,664.0,2.194,88926.0,256.0,245.0,0.36972,-0.22334,-1.7567,0.0,0.0,0.0,-11.667,0.0,0.0,-4.7142,0.0,0.0,0.0,-0.22193,5.375,0.0,0.0,0.0,2.0,256.0,0.0014077,-4.5331,25.0,160510.0,0.99501,0.0,512.24,88926.0,-0.78572,88926.0,245.0,0.0625,0.0014651,1.0,664.0,1.0,0.40826,14778.0,3.9844,0.0,-8.9451e-08,88926.0,0.0,165.24,0.0014903,1.0,4.0,280.0,0.49502,1.0,0.68617,133.0,0.0,1.0,0.12779,5.0,88926.0,2.0,3.0328,512.61,-0.22334,2.0,0.085065,664.0,0.0,2.0,0.00030214,245.0,-4.7142,68.0,0.00011264,-1.7567,0.0,69.0,4.8694e-05,0.0,0.0,26.816,0.0044913,-11.667,0.0,45.0,-1.3727e-09,-1.5844e-05,0.0,6.4062,1.6024,4.2041,0.25507,-17.556,-2.8268,-2.3067,2.6874,-7.1875,0.0,1.182e-11,8.8914e-16,-36.5,0.25,3.4273e-07,0.40697,0.0,2.4712e-05,-2.3842e-07,1.0,1.0,1.4051,-0.0014077,1.0,0.0,-2.4748,0.78572,1.0,,256.0,-0.99501,3e-06
71,0.0015917,508.7,0.99989,130230.0,0.52774,715.0,2.2441,87251.0,256.0,272.0,0.40352,-0.2346,-1.9154,0.0,0.0,0.0,-9.0625,-0.0,0.0,-4.6281,0.0,-0.0,0.0,-0.23301,3.6562,0.0,0.0,0.0,2.0,256.0,0.0015919,-4.875,10.0,169730.0,0.90753,0.0,508.7,87251.0,-0.80828,87251.0,272.0,0.0625,0.0014802,1.0,715.0,1.0,0.43577,14499.0,4.0,0.0,-8.5682e-08,87251.0,4.0,167.88,0.0015023,1.0,4.0,331.0,0.41181,1.0,0.68918,126.0,0.0,1.0,0.1293,5.0,87251.0,2.0,3.032,508.7,-0.2346,2.0,0.084402,715.0,0.0,2.0,0.0003866,272.0,-4.6281,69.0,0.00010998,-1.9154,0.0,70.0,4.4878e-05,0.0,0.0,26.441,0.0042981,-9.0625,0.0,46.25,-3.1479e-09,1.4101e-05,0.0,6.4062,2.3203,5.2488,0.26793,-16.998,-2.7622,-2.9187,2.8304,-7.1875,0.0,5.675e-11,6.2325e-16,-38.5,0.25,2.6822e-07,0.42187,0.0,-8.8808e-11,-2.2724e-07,1.0,1.0,2.0603,-0.0015919,1.0,0.0,-2.4748,0.80828,1.0,,256.0,-0.90753,3e-06
72,0.0019448,527.25,1.0002,134980.0,0.54948,967.0,2.4253,85615.0,256.0,220.0,0.19484,-0.23711,-1.4565,0.0,0.0,0.0,-8.6686,0.0,0.0,-5.2223,0.0,0.0,0.0,-0.23559,3.4375,0.0,0.0,0.0,2.0,256.0,0.0015244,-5.1349,8.0,225410.0,1.6356,0.0,527.25,85615.0,-0.88594,85615.0,220.0,0.0625,0.0016974,1.0,967.0,1.0,0.83043,14226.0,4.0,0.0,-8.9407e-08,85615.0,4.0,192.81,0.0017289,1.0,4.0,583.0,1.3376,1.0,0.6744,126.0,0.0,1.0,0.15496,5.0,85615.0,2.0,3.921,527.25,-0.23711,2.0,0.087312,967.0,0.0,2.0,0.00031348,220.0,-5.2223,70.0,0.00011485,-1.4565,0.0,71.0,3.7527e-05,0.0,0.0,26.334,0.0044418,-8.6686,0.0,46.75,1.1585e-09,0.00036074,0.0,6.5625,2.636,5.1935,0.27325,-17.044,-2.7869,-4.5947,2.6024,-7.3438,0.0,5.4601e-11,1.1882e-15,-36.0,0.25,3.5646e-07,0.41079,0.0,3.3417e-11,-3.553e-07,1.0,1.0,2.3215,-0.0015244,1.0,0.0,-2.4749,0.88594,1.0,,256.0,-1.6356,3e-06
73,0.0014632,521.34,0.99987,133460.0,0.54592,733.0,1.8603,88847.0,256.0,258.0,0.38001,-0.25369,-1.2627,0.0,0.0,0.0,-7.6889,0.0,0.0,-4.7536,0.0,0.0,0.0,-0.25202,4.9688,0.0,0.0,0.0,2.0,256.0,0.0016691,-4.6355,28.0,176000.0,0.96757,0.0,521.34,88847.0,-0.62072,88847.0,258.0,0.0625,0.0015438,1.0,733.0,1.0,0.34757,14765.0,4.0,0.0,-8.9407e-08,88847.0,4.0,174.28,0.0015672,1.0,4.0,349.0,0.46809,1.0,0.67446,131.0,0.0,1.0,0.13155,5.0,88847.0,2.0,4.1024,521.34,-0.25369,2.0,0.087171,733.0,0.0,2.0,0.00030725,258.0,-4.7536,71.0,0.00011691,-1.2627,0.0,72.0,5.0176e-05,0.0,0.0,26.166,0.0036825,-7.6889,0.0,44.75,-4.8088e-09,-0.00029157,0.0,6.4062,2.3337,4.4891,0.29338,-17.091,-2.7653,-3.732,2.6484,-7.2188,0.0,1.1127e-11,3.3705e-16,-35.25,0.25,2.3842e-07,0.41605,0.0,-1.1002e-10,-2.9802e-07,1.0,1.0,2.0623,-0.0016691,1.0,0.0,-2.4749,0.62072,1.0,,256.0,-0.96757,3e-06
74,0.0015307,486.09,0.99988,124440.0,0.50875,672.0,2.1584,81111.0,256.0,218.0,0.22301,-0.2484,-1.5322,0.0,0.0,0.0,-12.396,0.0,0.0,-4.7486,0.0,-0.0,0.0,-0.24665,5.0,0.0,0.0,0.0,2.0,256.0,0.0017532,-4.5673,51.0,165630.0,1.5005,0.0,486.09,81111.0,-0.76936,81111.0,218.0,0.054688,0.0016325,1.0,672.0,1.0,0.72354,20214.0,4.0,0.0,-8.9407e-08,81111.0,4.0,169.25,0.0016662,1.0,4.0,288.0,1.1258,1.0,0.62037,125.0,0.0,1.0,0.12752,5.0,81111.0,2.0,3.7486,486.09,-0.2484,2.0,0.087281,672.0,0.0,2.0,0.0003091,218.0,-4.7486,72.0,0.00012967,-1.5322,0.0,73.0,4.7782e-05,0.0,0.0,26.247,0.0042731,-12.396,0.0,47.0,0.0,0.00032299,0.0,6.5625,2.046,4.6339,0.2853,-17.259,-2.8916,-2.9171,2.5752,-7.3438,0.0,0.0,1.9016e-16,-36.75,0.25,0.0,0.65108,0.0,-4.7031e-11,0.0,1.0,1.0,1.7516,-0.0017532,1.0,0.0,-2.4748,0.76936,1.0,,256.0,-1.5005,3e-06
75,0.0017345,524.18,0.99985,134190.0,0.54596,785.0,2.7063,87661.0,256.0,315.0,0.36774,-0.23925,-1.9628,0.0,0.0,0.0,-10.345,0.0,0.0,-4.7103,0.0,0.0,0.0,-0.23754,4.1875,0.0,0.0,0.0,2.0,256.0,0.001711,-4.7413,11.0,185600.0,1.0004,0.0,524.18,87661.0,-0.99559,87661.0,315.0,0.058594,0.0015658,1.0,785.0,1.0,0.71074,14568.0,4.0,0.0,-8.7544e-08,87661.0,4.0,181.75,0.0015833,1.0,4.0,401.0,0.50039,1.0,0.66582,140.0,0.0,1.0,0.13664,5.0,87661.0,2.0,3.9272,524.18,-0.23925,2.0,0.083654,785.0,0.0,2.0,0.00041509,315.0,-4.7103,73.0,0.00010742,-1.9628,0.0,74.0,4.5939e-05,0.0,0.0,26.287,0.0043102,-10.345,0.0,44.5,-3.4813e-09,-0.00024263,0.0,6.5625,2.5609,7.3756,0.27565,-17.103,-2.7253,-3.6477,2.5023,-7.3438,0.0,0.0,6.6585e-16,-39.25,0.25,0.0,0.41897,0.0,5.4396e-11,0.0,1.0,1.0,2.3113,-0.001711,1.0,0.0,-2.4749,0.99559,1.0,,256.0,-1.0004,3e-06
76,0.0019112,506.75,0.99956,129730.0,0.52759,851.0,2.5009,82823.0,256.0,278.0,0.40653,-0.21787,-1.578,0.0,0.0,0.0,-12.504,0.0,0.0,-5.4877,0.0,0.0,0.0,-0.21597,11.219,0.0,0.0,0.0,2.0,256.0,0.0019035,-5.3653,225.0,193150.0,0.9001,0.0,506.75,82823.0,-0.91665,82823.0,278.0,0.0625,0.0014608,1.0,851.0,1.0,0.58424,13761.0,4.0,0.0,-8.7181e-08,82823.0,4.0,183.22,0.0014763,1.0,4.0,467.0,0.42012,1.0,0.6714,128.0,0.0,1.0,0.13521,5.0,82823.0,2.0,3.0249,506.75,-0.21787,2.0,0.085212,851.0,0.0,2.0,0.00034182,278.0,-5.4877,74.0,0.00010422,-1.578,0.0,75.0,4.63e-05,0.0,0.0,26.513,0.0041516,-12.504,0.0,46.0,-2.6484e-09,-5.7566e-05,0.0,6.4062,2.0808,4.1689,0.25129,-17.253,-2.7652,-2.9544,2.6154,-7.1875,0.0,0.0,7.3429e-16,-38.5,0.25,0.0,0.43367,0.0,-1.612e-10,0.0,1.0,1.0,1.8206,-0.0019035,1.0,0.0,-2.4749,0.91665,1.0,,256.0,-0.9001,3e-06
77,0.0015516,498.51,1.0001,127620.0,0.52801,823.0,2.095,84891.0,256.0,237.0,0.41316,-0.22749,-1.6423,0.0,0.0,0.0,-7.6501,0.0,0.0,-5.0497,0.0,0.0,0.0,-0.22603,3.9062,0.0,0.0,0.0,2.0,256.0,0.0014635,-4.6772,8.0,180610.0,0.88393,0.0,498.51,84891.0,-0.73953,84891.0,237.0,0.035156,0.0015285,1.0,823.0,1.0,0.35542,14106.0,4.0,0.0,-8.9407e-08,84891.0,4.0,166.91,0.0015473,1.0,4.0,439.0,0.39067,1.0,0.6424,128.0,0.0,1.0,0.13889,5.0,84891.0,2.0,3.0133,498.51,-0.22749,2.0,0.083644,823.0,0.0,2.0,0.00043865,237.0,-5.0497,75.0,0.00015166,-1.6423,0.0,76.0,6.0722e-05,0.0,0.0,26.488,0.0044362,-7.6501,0.0,46.75,5.3924e-09,4.8753e-05,0.0,6.5938,2.3006,4.8645,0.26269,-17.033,-2.9831,-3.5556,2.5847,-7.3438,0.0,0.0,1.5197e-16,-36.0,0.25,0.0,0.42501,0.0,-2.8085e-12,0.0,1.0,1.0,1.8878,-0.0014635,1.0,0.0,-2.4746,0.73953,1.0,,256.0,-0.88393,3e-06
78,0.0014643,504.77,1.0002,129220.0,0.5301,780.0,2.9472,84301.0,256.0,281.0,0.27227,-0.22722,-1.9309,0.0,0.0,0.0,-11.942,0.0,0.0,-4.8353,0.0,-0.0,0.0,-0.22597,4.4688,0.0,0.0,0.0,2.0,256.0,0.0012539,-4.6294,18.0,186370.0,1.301,0.0,504.77,84301.0,-1.0809,84301.0,281.0,0.0625,0.0014579,1.0,780.0,1.0,0.86636,14008.0,4.0,0.0,-8.7995e-08,84301.0,4.0,175.47,0.0014778,1.0,4.0,396.0,0.84626,1.0,0.68164,127.0,0.0,1.0,0.14047,5.0,84301.0,2.0,3.0544,504.77,-0.22722,2.0,0.20248,780.0,0.0,2.0,0.00034594,281.0,-4.8353,76.0,8.9074e-05,-1.9309,0.0,77.0,4.2674e-05,0.0,0.0,26.524,0.0043626,-11.942,0.0,46.25,1.1946e-08,-0.00017342,0.0,6.5938,2.5104,6.9439,0.26113,-17.181,-2.7911,-3.5436,2.6676,-7.25,0.0,0.0,1.8839e-16,-38.0,0.25,0.0,0.43204,0.0,1.2444e-10,0.0,1.0,1.0,2.1861,-0.0012539,1.0,0.0,-2.4749,1.0809,1.0,,256.0,-1.301,3e-06
79,0.0015412,494.46,0.99971,126580.0,0.5077,634.0,3.1143,84470.0,256.0,269.0,0.30533,-0.22346,-1.4299,0.0,0.0,0.0,-8.8299,0.0,0.0,-4.5531,0.0,-0.0,0.0,-0.22179,9.8125,0.0,0.0,0.0,2.0,256.0,0.0016723,-4.5378,169.0,158210.0,1.1864,0.0,494.46,84470.0,-1.136,84470.0,269.0,0.0625,0.0013865,1.0,634.0,1.0,0.97831,21054.0,4.0,0.0,-8.9407e-08,84470.0,4.0,164.5,0.0014054,1.0,4.0,250.0,0.70374,1.0,0.6422,125.0,0.0,1.0,0.12857,5.0,84470.0,2.0,3.8182,494.46,-0.22346,2.0,0.084344,634.0,0.0,2.0,0.00036218,269.0,-4.5531,77.0,0.0001237,-1.4299,0.0,78.0,4.7782e-05,0.0,0.0,26.624,0.0043295,-8.8299,0.0,46.25,-3.4322e-09,0.00033997,0.0,6.4062,2.3082,4.3726,0.25723,-17.402,-2.9141,-3.1629,2.4737,-7.1875,0.0,0.0,1.4231e-16,-39.25,0.25,0.0,0.64367,0.0,5.2922e-11,0.0,1.0,1.0,1.9401,-0.0016723,1.0,0.0,-2.4744,1.136,1.0,,256.0,-1.1864,3e-06
80,0.0017877,487.93,0.99975,124910.0,0.50549,649.0,2.9356,81819.0,256.0,251.0,0.27832,-0.23258,-1.7481,0.0,0.0,0.0,-10.818,0.0,0.0,-4.8286,0.0,-0.0,0.0,-0.23077,6.6562,0.0,0.0,0.0,2.0,256.0,0.0018096,-4.5721,103.0,162300.0,1.279,0.0,485.98,81819.0,-1.0769,81819.0,251.0,0.0625,0.0015603,1.0,649.0,1.0,0.85871,20391.0,3.9531,0.0,-8.9407e-08,81819.0,0.0,168.33,0.0015927,1.0,4.0,395.0,0.81792,1.0,0.65791,123.0,0.0,1.0,0.13339,5.0,81819.0,2.0,3.7843,487.93,-0.23258,2.0,0.082046,649.0,0.0,2.0,0.00035902,251.0,-4.8286,78.0,0.00011129,-1.7481,0.0,79.0,4.4838e-05,0.0,0.0,26.605,0.0037738,-10.818,0.0,45.0,3.3569e-09,0.000302,0.0,6.5938,2.5097,5.0854,0.26407,-17.43,-3.0229,-4.4016,2.5148,-7.3438,0.0,0.0,2.3722e-16,-37.0,0.25,0.0,0.64457,0.0,3.1583e-05,0.0,1.0,1.0,2.0382,-0.0018096,1.0,0.0,-2.4748,1.0769,1.0,,256.0,-1.279,3e-06
81,0.0013588,473.21,0.99991,121140.0,0.51383,760.0,2.2792,77623.0,256.0,262.0,0.2534,-0.217,-1.9009,0.0,0.0,0.0,-12.015,0.0,0.0,-4.8671,0.0,-0.0,0.0,-0.21522,22.594,0.0,0.0,0.0,2.0,256.0,0.0017783,-4.5127,615.0,177150.0,1.3728,0.0,473.21,77623.0,-0.82381,77623.0,262.0,0.0625,0.0016885,1.0,760.0,1.0,0.62618,19342.0,4.0,0.0,-8.9407e-08,77623.0,4.0,170.0,0.0017292,1.0,4.0,376.0,0.94226,1.0,0.6505,127.0,0.0,1.0,0.13092,5.0,77623.0,2.0,3.6366,473.21,-0.217,2.0,0.081283,760.0,0.0,2.0,0.0003398,262.0,-4.8671,79.0,0.00011201,-1.9009,0.0,80.0,4.622e-05,0.0,0.0,26.608,0.0041143,-12.015,0.0,47.0,4.7178e-09,3.2754e-05,0.0,6.5625,2.9763,5.2729,0.24802,-17.377,-3.0213,-4.7364,2.3515,-7.1562,0.0,0.0,2.7796e-16,-34.75,0.25,0.0,0.66925,0.0,2.9333e-10,0.0,1.0,1.0,2.4687,-0.0017783,1.0,0.0,-2.4749,0.82381,1.0,,256.0,-1.3728,3e-06
