task_name,path
medium_5000__data_querying__data_querying_task_0519,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_0519
medium_5000__data_processing__data_processing_task_3882,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_3882
medium_5000__data_querying__data_querying_task_2132,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_2132
easy_5000__data_science__data_science_task_1778,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1778
medium_5000__data_processing__data_processing_task_2420,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_2420
easy_5000__data_science__data_science_task_4237,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4237
easy_5000__data_science__data_science_task_4914,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4914
easy_5000__data_science__data_science_task_3572,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3572
medium_5000__data_processing__data_processing_task_1571,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_1571
medium_5000__security__security_task_0022,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_0022
easy_5000__data_science__data_science_task_3683,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3683
easy_5000__data_science__data_science_task_3109,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3109
medium_5000__data_processing__data_processing_task_1582,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_1582
easy_5000__data_science__data_science_task_0593,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0593
easy_5000__data_science__data_science_task_4487,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4487
medium_5000__security__security_task_1589,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_1589
easy_5000__data_science__data_science_task_2970,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2970
easy_5000__data_science__data_science_task_4616,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4616
easy_5000__data_science__data_science_task_1028,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1028
easy_5000__data_science__data_science_task_2042,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2042
medium_5000__data_processing__data_processing_task_1535,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_1535
medium_5000__data_querying__data_querying_task_0931,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_0931
medium_5000__data_querying__data_querying_task_3320,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3320
easy_5000__data_science__data_science_task_1858,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1858
medium_5000__data_processing__data_processing_task_0199,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_0199
easy_5000__data_science__data_science_task_3386,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3386
easy_5000__data_science__data_science_task_4437,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4437
medium_5000__security__security_task_2933,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_2933
medium_5000__data_querying__data_querying_task_3023,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3023
medium_5000__data_processing__data_processing_task_0280,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_0280
easy_5000__data_science__data_science_task_0727,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0727
easy_5000__data_science__data_science_task_3372,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3372
medium_5000__security__security_task_2299,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_2299
easy_5000__data_science__data_science_task_2975,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2975
easy_5000__data_science__data_science_task_4845,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4845
medium_5000__security__security_task_2262,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_2262
easy_5000__data_science__data_science_task_4903,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4903
easy_5000__data_science__data_science_task_0388,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0388
medium_5000__data_processing__data_processing_task_3819,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_3819
easy_5000__data_science__data_science_task_0768,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0768
easy_5000__data_science__data_science_task_2856,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2856
medium_5000__data_processing__data_processing_task_0446,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_0446
easy_5000__data_science__data_science_task_2416,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2416
medium_5000__security__security_task_2219,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_2219
medium_5000__security__security_task_1286,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_1286
easy_5000__data_science__data_science_task_1518,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1518
medium_5000__data_processing__data_processing_task_1907,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_1907
medium_5000__data_querying__data_querying_task_3395,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3395
easy_5000__data_science__data_science_task_0811,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0811
medium_5000__security__security_task_4007,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_4007
medium_5000__data_querying__data_querying_task_1669,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_1669
medium_5000__data_querying__data_querying_task_2410,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_2410
easy_5000__data_science__data_science_task_1636,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1636
easy_5000__data_science__data_science_task_4176,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4176
easy_5000__data_science__data_science_task_1166,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1166
medium_5000__security__security_task_3323,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_3323
medium_5000__data_querying__data_querying_task_4643,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_4643
easy_5000__data_science__data_science_task_3417,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3417
medium_5000__security__security_task_2253,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_2253
medium_5000__security__security_task_1224,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_1224
easy_5000__data_science__data_science_task_2823,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2823
medium_5000__data_querying__data_querying_task_3452,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3452
easy_5000__data_science__data_science_task_0607,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0607
medium_5000__data_querying__data_querying_task_3058,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3058
easy_5000__data_science__data_science_task_4916,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4916
easy_5000__data_science__data_science_task_2675,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2675
easy_5000__data_science__data_science_task_0930,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0930
medium_5000__data_querying__data_querying_task_4196,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_4196
medium_5000__security__security_task_2978,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_2978
easy_5000__data_science__data_science_task_3815,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3815
medium_5000__data_processing__data_processing_task_1589,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_1589
medium_5000__data_querying__data_querying_task_3664,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3664
easy_5000__data_science__data_science_task_0647,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0647
medium_5000__security__security_task_0264,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_0264
medium_5000__security__security_task_1142,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_1142
easy_5000__data_science__data_science_task_0683,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0683
medium_5000__security__security_task_3091,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_3091
easy_5000__data_science__data_science_task_3064,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3064
medium_5000__data_processing__data_processing_task_3226,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_3226
medium_5000__data_processing__data_processing_task_1867,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_1867
easy_5000__data_science__data_science_task_3450,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3450
easy_5000__data_science__data_science_task_4406,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4406
medium_5000__security__security_task_0374,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_0374
medium_5000__data_querying__data_querying_task_0413,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_0413
easy_5000__data_science__data_science_task_4520,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4520
medium_5000__security__security_task_4142,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/security/security_task_4142
easy_5000__data_science__data_science_task_3355,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3355
easy_5000__data_science__data_science_task_3106,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3106
easy_5000__data_science__data_science_task_4695,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4695
medium_5000__data_querying__data_querying_task_3425,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3425
easy_5000__data_science__data_science_task_3942,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_3942
easy_5000__data_science__data_science_task_4915,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4915
easy_5000__data_science__data_science_task_1158,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1158
easy_5000__data_science__data_science_task_0222,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0222
easy_5000__data_science__data_science_task_1284,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1284
easy_5000__data_science__data_science_task_2454,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2454
easy_5000__data_science__data_science_task_1665,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_1665
medium_5000__data_querying__data_querying_task_3892,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_3892
medium_5000__data_querying__data_querying_task_1519,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_1519
medium_5000__data_processing__data_processing_task_3066,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_3066
easy_5000__data_science__data_science_task_0801,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_0801
medium_5000__data_querying__data_querying_task_4202,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_4202
easy_5000__data_science__data_science_task_2852,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_2852
medium_5000__data_querying__data_querying_task_0977,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_querying/data_querying_task_0977
easy_5000__data_science__data_science_task_4578,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/easy/easy_5000/data_science/data_science_task_4578
medium_5000__data_processing__data_processing_task_2972,/wbl-fast/usrs/ee/teacher-answer-rl/terminal_synthetic_tasks/medium/medium_5000/data_processing/data_processing_task_2972
